iter	Logloss
0	0.6864726484
1	0.6802597696
2	0.6733405517
3	0.6663470946
4	0.6604662933
5	0.6549303449
6	0.6490995375
7	0.6428569891
8	0.6374511045
9	0.631979856
10	0.6267949968
11	0.6213095936
12	0.6161411981
13	0.6114436509
14	0.6065191445
15	0.6015376748
16	0.5974490859
17	0.5938928246
18	0.5906615075
19	0.5857397434
20	0.5813919616
21	0.5774125183
22	0.5729432489
23	0.5698282709
24	0.5656500727
25	0.5616073644
26	0.5580782145
27	0.5546935347
28	0.5515363126
29	0.5481480077
30	0.5451583857
31	0.5418981618
32	0.5385834815
33	0.5369477693
34	0.5336315214
35	0.5307776469
36	0.5278015242
37	0.5248176587
38	0.5221168905
39	0.519325301
40	0.5170340522
41	0.5142061113
42	0.512567593
43	0.5100349512
44	0.507628092
45	0.505307786
46	0.5033415869
47	0.500761573
48	0.4983269017
49	0.496106807
50	0.4936991139
51	0.4917285595
52	0.4897617775
53	0.487701617
54	0.4858508447
55	0.4842800432
56	0.4823062705
57	0.4809606201
58	0.4792814558
59	0.4772940634
60	0.4753854276
61	0.4741041717
62	0.4723703508
63	0.4704773715
64	0.4690540546
65	0.4674728174
66	0.4663209023
67	0.4644787674
68	0.4627338208
69	0.4612016022
70	0.4595701064
71	0.4582447303
72	0.4564271843
73	0.4550646695
74	0.4536411514
75	0.4522690676
76	0.4507089435
77	0.4493504097
78	0.4487585241
79	0.447390017
80	0.446432859
81	0.4451337688
82	0.4440838038
83	0.4426842371
84	0.4415244847
85	0.4407446246
86	0.4399585613
87	0.4384359862
88	0.4370695978
89	0.4360773782
90	0.4350695939
91	0.4339047599
92	0.4331302309
93	0.4325000621
94	0.4313434167
95	0.4307222774
96	0.4298909258
97	0.4287861824
98	0.4281027288
99	0.4273344815
100	0.4267246401
101	0.4256472178
102	0.4251872554
103	0.4246118468
104	0.4235069849
105	0.4228340014
106	0.4217988566
107	0.4207674269
108	0.4196464399
109	0.4187054275
110	0.4178120221
111	0.4167567656
112	0.4160246758
113	0.4154866814
114	0.4144952538
115	0.413634388
116	0.4133179772
117	0.4127946758
118	0.412329264
119	0.4115736447
120	0.4110139244
121	0.4104173347
122	0.409784879
123	0.4093995155
124	0.4087151481
125	0.4081236546
126	0.4076557534
127	0.4069720546
128	0.4062447136
129	0.4058330639
130	0.4049870089
131	0.4040199364
132	0.4035318841
133	0.4029342259
134	0.4022533214
135	0.4015200836
136	0.4011937827
137	0.400548508
138	0.3998236592
139	0.3992592315
140	0.3985056373
141	0.3980767596
142	0.3975546634
143	0.3968843342
144	0.3966166914
145	0.3961097125
146	0.3954856034
147	0.3949970659
148	0.3946999969
149	0.3942006591
150	0.39383967
151	0.3935038488
152	0.3930558291
153	0.3927066986
154	0.3922655433
155	0.3918374648
156	0.3914447552
157	0.3908397222
158	0.3903807444
159	0.3901140148
160	0.389723801
161	0.3893108616
162	0.3889624541
163	0.3887159067
164	0.3885571604
165	0.3881361598
166	0.3880188163
167	0.3877546971
168	0.3877038687
169	0.3875126429
170	0.3872141256
171	0.3865549454
172	0.3865068863
173	0.3860440084
174	0.3857261084
175	0.3852514142
176	0.3850517054
177	0.3844480534
178	0.3841385772
179	0.3839644391
180	0.3836006523
181	0.3833865078
182	0.3830634068
183	0.3827982104
184	0.3825469364
185	0.3820641575
186	0.3816012728
187	0.3813354168
188	0.3811613558
189	0.380644077
190	0.3804758664
191	0.3802935674
192	0.3800484406
193	0.3798704468
194	0.3795723312
195	0.3791228916
196	0.3789357936
197	0.378613451
198	0.378234937
199	0.3778957707
