iter	Passed	Remaining
0	1	315
1	3	339
2	4	314
3	5	288
4	7	275
5	7	256
6	9	257
7	10	253
8	11	252
9	13	248
10	14	245
11	15	242
12	16	240
13	17	237
14	18	233
15	20	231
16	20	225
17	22	222
18	23	221
19	24	223
20	26	222
21	27	219
22	28	217
23	29	216
24	30	215
25	31	214
26	33	212
27	34	209
28	35	207
29	36	206
30	37	204
31	38	203
32	40	203
33	40	198
34	41	197
35	43	196
36	44	194
37	45	193
38	46	191
39	47	188
40	48	187
41	49	185
42	50	183
43	51	182
44	52	180
45	53	179
46	54	176
47	55	175
48	56	173
49	57	172
50	58	171
51	59	170
52	61	169
53	61	167
54	63	166
55	64	165
56	65	163
57	66	162
58	67	161
59	68	160
60	70	159
61	71	159
62	72	158
63	73	157
64	75	156
65	76	155
66	77	154
67	78	153
68	80	151
69	81	150
70	82	149
71	83	148
72	84	147
73	86	146
74	87	145
75	88	144
76	89	142
77	90	141
78	91	140
79	93	139
80	94	138
81	95	137
82	96	135
83	97	134
84	98	133
85	99	132
86	100	130
87	101	129
88	103	128
89	104	127
90	105	126
91	106	125
92	107	124
93	108	122
94	110	121
95	111	120
96	112	119
97	113	118
98	115	117
99	116	116
100	118	115
101	119	114
102	120	113
103	121	112
104	123	111
105	124	110
106	125	109
107	126	107
108	127	106
109	129	105
110	130	104
111	131	103
112	132	102
113	133	100
114	134	99
115	135	98
116	137	97
117	138	96
118	139	94
119	140	93
120	141	92
121	142	91
122	144	90
123	145	89
124	146	87
125	147	86
126	148	85
127	150	84
128	151	83
129	152	81
130	153	80
131	154	79
132	155	78
133	156	77
134	157	76
135	159	74
136	160	73
137	161	72
138	162	71
139	163	70
140	164	69
141	166	67
142	167	66
143	168	65
144	169	64
145	170	63
146	172	62
147	173	60
148	174	59
149	175	58
150	176	57
151	177	56
152	178	54
153	179	53
154	181	52
155	182	51
156	183	50
157	184	49
158	185	47
159	186	46
160	188	45
161	190	44
162	191	43
163	192	42
164	193	41
165	194	39
166	195	38
167	196	37
168	197	36
169	198	35
170	199	33
171	200	32
172	201	31
173	202	30
174	204	29
175	205	27
176	206	26
177	207	25
178	208	24
179	210	23
180	211	22
181	212	21
182	214	19
183	215	18
184	216	17
185	217	16
186	219	15
187	220	14
188	221	12
189	222	11
190	223	10
191	224	9
192	226	8
193	227	7
194	228	5
195	229	4
196	230	3
197	232	2
198	233	1
199	234	0
